data_id	Project Title	Start Year	End Year	ISO3 Code	Region	Country	Client/ Donor	M&E	Public Financial Management and Fiscal Sustainability	Brief Description	Point of contact	Email	Phone	Is Current Project? (true/false)	Practice Area	projects_slug	Prime	Contract Value USD	Contract Number	Sub	Education, Gender, and Youth Development	Knowledge Management and Data Analytics	Link	Security, Transparency, and Governance	Document Title	Energy and Environment	Subcontract Number/Order Number/Grant Number	Link to the document file
137	Hurricane Ivan Social Sector Infrastructure Repair and Reconstruction	2004	2005	JAM	Latin America and the Caribbean	Jamaica	USAID			USAID contracted DevTech to facilitate the rapid reconstruction and refurbishment of education and health facilities that were damaged by Hurricane Ivan during 2004. The project restored 95 facilities to pre-hurricane conditions or better.DevTech conducted nearly 150 assessments of facilities in order to ascertain which sites qualified under project criteria, and eventually repaired 26 schools, including one university, 66 clinics or community health centers, and three NGOs. The 95 facilities are situated in each of the three regions of Jamaica and in every one of the country’s 14 parishes. The final repairs brought better conditions and benefits to an estimated one million people in the population areas most directly served by the facilities.DevTech coordinated closely with USAID and the Jamaican Office of National Reconstruction throughout project implementation.	Denise Herbol	kingstondir@usaid.gov	876-702-6444	No	Education, Gender and Youth	Hurricane-Ivan-Social-Sector-I	x	3699965.00	532-C-00-05-00007-00		x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=Mjk3ODU4&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		The Hurrican Ivan social sector infrastructure repair and reconstruction project final report			
138	Knowledge and Practice: Business Development Services	2004	2006	GTM	Latin America and the Caribbean	Guatemala	USAID		x	DevTech was an active member of a multi-organizational team that developed tools and strategies to:Enhance inter-firm cooperation and coordination between MSEs and other firms in value chains; and Encourage MSE owners to upgrade their businesses to improve competitiveness.DevTech staff led the field work for a quantitative study of Micro and Small Enterprises in Guatemala. The purpose of the survey was to identify opportunities and difficulties small enterprises experienced in Guatemala, and to research how small enterprises can thrive in local, national, and global markets. DevTech staff worked with the team to design the research protocol, survey methodology and training materials for local surveyors.				No	Public Financial Management and Fiscal Sustainability~Knowledge Management and Data Analytics	Knowledge-and-Practice:-Busine	Louis Berger Group			x		x						
139	Mid-Term Evaluation of the Pilot Program to Support Municipalities and Small Enterprises in El Salvador	2004	2004	SLV	Latin America and the Caribbean	El Salvador	Inter-American Development Bank	x	x	Fondo de Inversion Social para el Desarrollo Local (FISDL)/Inter-American Development Bank (2004)DevTech performed an evaluation of FISDL's pilot program, which supports municipalities and small enterprises in El Salvador. DevTech staff analyzed FISDL's execution of projects in 40 municipalities with the participation of 600 small enterprises. These projects fund and promote sustainable local development in El Salvador through strengthening the capacities of local governments and community organizations. The FISDL project promotes processes that foster equality, participation, and transparency, helping governments and economic development organizations use these concepts in the effective and efficient uses of limited resources.				No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Mid-Term-Evaluation-of-the-Pil	x	39651.00	FISDL/BID/O/16899.0-2004				http://www.devtechsys.com/images/projects/el-salvador-reactivation-of-micro-small-and-medium-businesses.pdf		Program for Productive Reactivation of Micro, Small, and Medium Businesses			Link
140	Nigeria Restructured Economic Framework for Openness, Reform, and Macroeconomic Stability (REFORMS)	2005	2009	NGA	Africa	Nigeria	USAID		x	The Nigeria Restructured Economic Framework for Openness, Reform and Macroeconomic Stability (REFORMS) project supported the Nigerian government at both the federal and state levels in improving the budgeting process and accelerating improvements in public procurements. DevTech provided technical expertise for the project in the following areas:Capital budgeting at the federal level with the Budget Office of the Federation;Capital budgeting at the state level with four state offices equivalent to the Budget Office;Institutional strengthening and organizational change; andTraining to federal ministries and agencies.				No	Public Financial Management and Fiscal Sustainability~Security, Transparency, and Governance	Nigeria-Restructured-Economic	DAI	94766.00	PCE-I-00-00-00015-00	X			http://pdf.usaid.gov/pdf_docs/pdaco498.pdf	x	Quarterly Progress Report Restructured Economic Framework for Openness, Reform & Macroeconomic Stability Project		4153-00S-001, Task Order No. 4	
141	Feasibility Study to Examine Kenya Revenue Authority's Information and Communications Technology Strategy	2005	2006	KEN	Africa	Kenya	U.S. Trade and Development Agency	x	x	U.S. Trade and Development Agency/Kenya Revenue Authority (2005–2006)DevTech partnered with the M Group on a U.S. Trade and Development Agency (USTDA)- funded feasibility study to examine the Kenya Revenue Authority’s (KRA) Information and Communications Technology (ICT) strategy, issue proposals and recommendations for modernization of this strategy, and identify and develop costing for procuring and implementing a computerized integrated tax management system. Specific tasks within the KRA's Enterprise Integrated System Architecture (KREISA) plan included:Reviewing the KRA's functions, processes, technology infrastructure, and policies concerning the KRA's tax management functions nationwide;Undertaking Business Process Improvement with regard to the KRA's tax management functions;Determining the features that are necessary in the tax management software and identifying potential products to meet these requirements;Developing a high-level implementation plan for procuring and implementing the new software, and network infrastructure, and developing an implementation strategy;Developing a KRA ICT framework document to support the KRA's business functions; andIdentifying legal and regulatory issues relevant to the procurement and implementation of the new system, and recommending measures to address these issues.				No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Feasibility-Study-to-Examine-K	M Group	374000.00		x			https://www.ustda.gov/library/reports/requested/KEN_200410042A_v2.pdf		Integrated Tax System Technical Assistance			
142	Assessment of the USAID Assistance Program to the Reform of the Benin Primary Education System	2005	2005	BEN	Africa	Benin	USAID/Benin	x		DevTech fielded a team of five technical experts to assess the accomplishments of USAID support to the education sector in Benin, examine the impact of USAID-funded basic education programming in Benin, and propose follow-on programs. The assessment documented results, identified constraints, reviewed USAID/Benin’s transition strategy, and proposed programming options for future USAID-funded support to the primary education system for the period of 2006–2011.◾Assessed the sustainability of current USAID-funded technical assistance and training to support school district operations and in-service training of teachers;◾Assessed the implementation and the performance of the new study program in private schools while comparing findings with the experience in public schools;◾Assessed the current teacher training model as applied in Benin;◾Identified constraints affecting the reform and provide recommendations on short- and long-term solutions; and◾Assessed the impact and relevance of the USAID/Benin education program, specifically in terms of its objectives, expected results, approach, and the strategy adopted.				No	Monitoring and Evaluation~Education, Gender and Youth	Assessment-of-the-USAID-Assist	x		HNE-5832-I-00-3069-00		x		http://www.devtechsys.com/images/eyd/benin-reform-of-the-primary-education-system.pdf		Benin Reform of the Primary Education System			
143	Evaluation of USAID Basic Education in Kyrgyzstan, Tajikistan, and Uzbekistan	2005	2005	KGZ	Asia	Kyrgyzstan	USAID	x						No	Monitoring and Evaluation~Education, Gender and Youth	Evaluation-of-USAID-Basic-Educ	x		EDH-I-00-03-00002-00		x							Link
144	ICR for OECS Telecom Reform Project	2005	2005		Global	Global	World Bank	x							Monitoring and Evaluation	ICR-for-OECS-Telecom-Reform-Pr	x	3625.00	7133557									
145	Sri Lanka Tsunami Reconstruction Program	2005	2006	LKA	Asia	Sri Lanka				Of the several countries affected by the tsunami in December 2005, Sri Lanka suffered a great loss of life as a result of this devastating event. DevTech was a subcontractor on a post-tsunami reconstruction and development project led by CH2M Hill. DevTech assisted with short-term consultancies to support all aspects of the project, with a particular focus on vocational education. The project also focused on repair and reconstruction of harbors, bridges, and roads.	Karen J. Holden	CH2M HILL Int’l	1.888.242.6445	No	Energy and Environment	Sri-Lanka-Tsunami-Reconstructi	CH2M Hill	199204.43		x						x		
146	Cyprus Biodiversity Assessment	2005	2006	CYP	Europe and Eurasia	Cyprus	USAID	x		"As part of the process of preparing its first Mission Strategy, the United States Agency for International Development (USAID) office in Cyprus was required to prepare the FAA 119 Biodiversity Analysis report to comply with Section 119 of the Foreign Assistance Act (FAA).DevTech was the primary author of the final report, which provided a thorough environmental perspective of Cyprus. The report focused on biodiversity and environmental issues. The findings and recommendations were presented a manner consistent with USAID's Strategic Objective, \""conditions to foster a durable settlement in Cyprus are strengthened\"" and were within the existing framework of the Mission's portfolio.The findings in the report were based on information gathered during interviews and site visits to the Greek Cypriot Community (GCC) in the south and the Turkish Cypriot Community (TCC) in the north. Places visited included the Salt Lake in Larnaca, the Paphos region and Akamas Peninsula in the south and the \""new road\"" to the Karpaz Peninsula and Lefka in the north."				No	Monitoring and Evaluation~Energy and Environment	Cyprus-Biodiversity-Assessment	PA Consulting		EPP-I-00-03-00015-00	x						x		Link
